Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Donovan Mitchell,CLE,28,19,16,3,31.7,24.1,8.6,19.2,45.1,3.6,9.2,38.9,3.2,3.9,82.4,0.6,4.2,4.7,4.0,2.0,1.5,0.3,2.3,38.9,2.0,0.0,5.7
2,Darius Garland,CLE,24,19,16,3,30.6,20.7,7.6,15.3,49.5,3.0,6.8,44.2,2.5,2.7,94.1,0.6,1.8,2.4,6.8,2.5,1.2,0.3,2.5,35.6,3.0,0.0,5.9
3,Evan Mobley,CLE,23,19,16,3,31.1,18.2,7.1,12.6,55.8,0.6,1.9,32.4,3.4,4.1,83.3,2.4,6.9,9.3,2.7,2.1,1.1,1.5,2.1,39.0,9.0,0.0,8.5
4,Jarrett Allen,CLE,26,20,17,3,29.6,14.5,5.9,8.4,70.1,0.0,0.0,0.0,2.8,3.8,74.7,2.4,8.4,10.7,1.7,1.0,0.9,1.1,1.2,34.7,14.0,0.0,4.4
5,Ty Jerome,CLE,27,20,17,3,19.2,12.1,4.5,7.7,57.8,1.7,3.2,52.4,1.5,1.7,88.2,0.5,1.6,2.1,3.8,1.4,1.5,0.1,1.6,23.3,0.0,0.0,4.4
6,Caris LeVert,CLE,30,14,13,1,24.1,11.5,4.1,7.7,52.8,1.7,3.6,47.1,1.6,2.1,76.7,0.6,2.1,2.8,4.3,1.1,0.9,0.5,1.4,24.5,0.0,0.0,9.9
7,Georges Niang,CLE,31,20,17,3,20.0,8.1,3.1,7.3,42.8,1.6,4.9,32.7,0.3,0.4,71.4,0.6,3.0,3.6,1.2,1.0,0.4,0.2,2.3,15.0,0.0,0.0,4.7
8,JT Thor,CLE,22,2,2,0,7.2,7.0,2.5,2.5,100,1.0,1.0,100,1.0,1.0,100,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,13.2,0.0,0.0,-1.0
9,Sam Merrill,CLE,28,16,13,3,19.5,6.8,2.3,5.7,39.6,1.8,5.0,36.3,0.4,0.5,87.5,0.3,1.4,1.7,1.5,0.4,0.5,0.2,1.9,12.7,0.0,0.0,3.1
10,Isaac Okoro,CLE,23,18,16,2,20.7,6.0,2.2,4.6,47.6,1.1,2.5,44.4,0.6,0.9,62.5,0.9,1.4,2.3,1.7,0.3,0.8,0.3,1.9,14.4,0.0,0.0,3.3
11,Dean Wade,CLE,28,13,13,0,22.0,5.5,1.8,4.7,39.3,1.4,3.9,35.3,0.4,0.9,41.7,0.6,3.5,4.2,1.5,0.3,1.0,0.4,1.7,16.6,0.0,0.0,6.2
12,Tristan Thompson,CLE,33,7,7,0,7.4,2.9,1.4,2.1,66.7,0.0,0.0,0.0,0.0,0.9,0.0,0.3,1.7,2.0,0.4,0.4,0.0,0.3,0.9,6.3,0.0,0.0,-2.7
13,Craig Porter Jr.,CLE,24,15,12,3,9.7,2.8,1.1,2.0,56.7,0.3,0.7,45.5,0.2,0.3,60.0,0.1,0.9,0.9,1.3,0.6,0.3,0.4,0.5,7.5,0.0,0.0,1.0
14,Jaylon Tyson,CLE,22,10,8,2,9.2,2.8,1.1,2.3,47.8,0.3,0.9,33.3,0.3,0.6,50.0,0.9,1.2,2.1,1.0,0.6,0.4,0.0,1.5,7.4,1.0,0.0,0.3
15,Luke Travers,CLE,23,5,5,0,8.0,1.6,0.6,1.4,42.9,0.0,0.6,0.0,0.4,0.4,100,0.2,1.0,1.2,1.0,0.4,0.2,0.2,0.6,5.3,0.0,0.0,0.2
